categories,chi_square,chi_square_fdr,chi_square_p_value,counts,cramers_v,feature,proportions
"[""btd_core"",""btd_core+rcsb_support"",""rcsb_structural""]",1814.0,0.0,0.0,"{""0"":{""btd_core"":907,""btd_core+rcsb_support"":0,""rcsb_structural"":0},""1"":{""btd_core"":0,""btd_core+rcsb_support"":47,""rcsb_structural"":860}}",0.9997240237287034,origin,"{""0"":{""btd_core"":1.0,""btd_core+rcsb_support"":0.0,""rcsb_structural"":0.0},""1"":{""btd_core"":0.0,""btd_core+rcsb_support"":0.05181918412348401,""rcsb_structural"":0.948180815876516}}"
"[""ELECTRON MICROSCOPY"",""FIBER DIFFRACTION"",""SOLID-STATE NMR"",""SOLUTION NMR"",""SOLUTION SCATTERING"",""X-RAY DIFFRACTION"",""unavailable""]",10.16449500079752,0.11789352265075985,0.11789352265075985,"{""0"":{""ELECTRON MICROSCOPY"":227,""FIBER DIFFRACTION"":0,""SOLID-STATE NMR"":1,""SOLUTION NMR"":57,""SOLUTION SCATTERING"":1,""X-RAY DIFFRACTION"":621,""unavailable"":0},""1"":{""ELECTRON MICROSCOPY"":198,""FIBER DIFFRACTION"":1,""SOLID-STATE NMR"":0,""SOLUTION NMR"":41,""SOLUTION SCATTERING"":0,""X-RAY DIFFRACTION"":666,""unavailable"":1}}",0.04790818366690825,experimental_method,"{""0"":{""ELECTRON MICROSCOPY"":0.25027563395810365,""FIBER DIFFRACTION"":0.0,""SOLID-STATE NMR"":0.0011025358324145535,""SOLUTION NMR"":0.06284454244762955,""SOLUTION SCATTERING"":0.0011025358324145535,""X-RAY DIFFRACTION"":0.6846747519294377,""unavailable"":0.0},""1"":{""ELECTRON MICROSCOPY"":0.21830209481808158,""FIBER DIFFRACTION"":0.0011025358324145535,""SOLID-STATE NMR"":0.0,""SOLUTION NMR"":0.04520396912899669,""SOLUTION SCATTERING"":0.0,""X-RAY DIFFRACTION"":0.7342888643880926,""unavailable"":0.0011025358324145535}}"
"[""G001"",""G002"",""G003"",""G004"",""G005"",""G006"",""G007"",""G008"",""G011"",""G012"",""G013"",""G014"",""G015"",""G016"",""G017"",""G018"",""G019"",""G020"",""G021"",""G022"",""G023"",""G024"",""G025"",""G026"",""G027"",""G028"",""G029"",""G030"",""G031"",""G032"",""G033"",""G034"",""G035"",""G036"",""G037"",""G038"",""G039"",""G040"",""G041"",""G042"",""G043"",""G044"",""G045"",""G046"",""G047"",""G048"",""G049"",""G050"",""G051"",""G_NOISE""]",137.33120430247524,3.938108354737409e-10,2.6254055698249395e-10,"{""0"":{""G001"":1,""G002"":0,""G003"":0,""G004"":0,""G005"":0,""G006"":0,""G007"":0,""G008"":0,""G011"":0,""G012"":2,""G013"":2,""G014"":2,""G015"":0,""G016"":0,""G017"":1,""G018"":6,""G019"":5,""G020"":1,""G021"":0,""G022"":0,""G023"":0,""G024"":0,""G025"":1,""G026"":0,""G027"":4,""G028"":0,""G029"":2,""G030"":0,""G031"":3,""G032"":0,""G033"":1,""G034"":8,""G035"":1,""G036"":0,""G037"":21,""G038"":13,""G039"":2,""G040"":0,""G041"":7,""G042"":0,""G043"":0,""G044"":2,""G045"":1,""G046"":6,""G047"":0,""G048"":0,""G049"":0,""G050"":1,""G051"":0,""G_NOISE"":814},""1"":{""G001"":5,""G002"":1,""G003"":4,""G004"":1,""G005"":4,""G006"":2,""G007"":3,""G008"":2,""G011"":1,""G012"":3,""G013"":7,""G014"":5,""G015"":2,""G016"":1,""G017"":8,""G018"":5,""G019"":11,""G020"":2,""G021"":3,""G022"":1,""G023"":1,""G024"":1,""G025"":2,""G026"":4,""G027"":5,""G028"":13,""G029"":7,""G030"":3,""G031"":3,""G032"":6,""G033"":7,""G034"":10,""G035"":1,""G036"":4,""G037"":1,""G038"":5,""G039"":6,""G040"":2,""G041"":8,""G042"":2,""G043"":3,""G044"":6,""G045"":2,""G046"":13,""G047"":3,""G048"":4,""G049"":1,""G050"":4,""G051"":4,""G_NOISE"":705}}",0.2206946413773978,global_phenotype,"{""0"":{""G001"":0.0011025358324145535,""G002"":0.0,""G003"":0.0,""G004"":0.0,""G005"":0.0,""G006"":0.0,""G007"":0.0,""G008"":0.0,""G011"":0.0,""G012"":0.002205071664829107,""G013"":0.002205071664829107,""G014"":0.002205071664829107,""G015"":0.0,""G016"":0.0,""G017"":0.0011025358324145535,""G018"":0.006615214994487321,""G019"":0.005512679162072767,""G020"":0.0011025358324145535,""G021"":0.0,""G022"":0.0,""G023"":0.0,""G024"":0.0,""G025"":0.0011025358324145535,""G026"":0.0,""G027"":0.004410143329658214,""G028"":0.0,""G029"":0.002205071664829107,""G030"":0.0,""G031"":0.0033076074972436605,""G032"":0.0,""G033"":0.0011025358324145535,""G034"":0.008820286659316428,""G035"":0.0011025358324145535,""G036"":0.0,""G037"":0.023153252480705624,""G038"":0.014332965821389196,""G039"":0.002205071664829107,""G040"":0.0,""G041"":0.007717750826901874,""G042"":0.0,""G043"":0.0,""G044"":0.002205071664829107,""G045"":0.0011025358324145535,""G046"":0.006615214994487321,""G047"":0.0,""G048"":0.0,""G049"":0.0,""G050"":0.0011025358324145535,""G051"":0.0,""G_NOISE"":0.8974641675854466},""1"":{""G001"":0.005512679162072767,""G002"":0.0011025358324145535,""G003"":0.004410143329658214,""G004"":0.0011025358324145535,""G005"":0.004410143329658214,""G006"":0.002205071664829107,""G007"":0.0033076074972436605,""G008"":0.002205071664829107,""G011"":0.0011025358324145535,""G012"":0.0033076074972436605,""G013"":0.007717750826901874,""G014"":0.005512679162072767,""G015"":0.002205071664829107,""G016"":0.0011025358324145535,""G017"":0.008820286659316428,""G018"":0.005512679162072767,""G019"":0.012127894156560088,""G020"":0.002205071664829107,""G021"":0.0033076074972436605,""G022"":0.0011025358324145535,""G023"":0.0011025358324145535,""G024"":0.0011025358324145535,""G025"":0.002205071664829107,""G026"":0.004410143329658214,""G027"":0.005512679162072767,""G028"":0.014332965821389196,""G029"":0.007717750826901874,""G030"":0.0033076074972436605,""G031"":0.0033076074972436605,""G032"":0.006615214994487321,""G033"":0.007717750826901874,""G034"":0.011025358324145534,""G035"":0.0011025358324145535,""G036"":0.004410143329658214,""G037"":0.0011025358324145535,""G038"":0.005512679162072767,""G039"":0.006615214994487321,""G040"":0.002205071664829107,""G041"":0.008820286659316428,""G042"":0.002205071664829107,""G043"":0.0033076074972436605,""G044"":0.006615214994487321,""G045"":0.002205071664829107,""G046"":0.014332965821389196,""G047"":0.0033076074972436605,""G048"":0.004410143329658214,""G049"":0.0011025358324145535,""G050"":0.004410143329658214,""G051"":0.004410143329658214,""G_NOISE"":0.7772877618522602}}"
